,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean
PartnerID,2663399.5,3001367.5896406253,1556128.0,1894454.779309711,104751.0,339711.1201579541,1122694.0,1101312.4462969056,1634887.0,2318651.5016287463,1443177.0,1577560.0547605762,2425561.5,2636523.5215558494
Sex,0.0,0.42505928439477514,0.0,0.3658256353692725,0.0,0.24294847687100413,0.0,0.3255084860565479,0.0,0.21968026460859977,0.0,0.36621489979476607,0.0,0.3616073463063392
Age,32.0,34.056919569745965,32.0,34.47437841812583,46.0,46.11884166980068,36.0,37.21225785226327,56.0,50.1083993184324,34.0,35.520764567353616,33.0,34.62400309893816
CreditCondition,0.0,3.9304571121621446e-05,0.0,0.5184061767544464,4.0,3.4875893192929674,4.0,3.6948116037388967,0.0,0.020497143429888745,2.0,2.195028988111564,1.0,1.0032356560178646
LombardRating,0.0,0.14711700970822908,0.0,0.4694609127257686,3.0,2.9633320797292213,4.0,3.6028099781317127,0.0,0.14457001102535832,2.0,2.3127122090548835,1.0,1.3465797748712574
SumAmountzb,3996.0,6395.87412090827,11399.0,20114.619635649597,1041831.03125,2415490.0102438065,75028.07421875,164859.7101537824,15300.0,80663.87834370049,25322.0,58352.65960321721,14700.0,45661.62232170319
AVGAmountzb,3996.0,6395.87412090827,3936.333251953125,5700.325670328652,7759.93359375,15832.90409627845,5172.442626953125,8135.8290684693575,5293.28515625,10690.309926980004,4133.33349609375,6195.970585070667,4555.0,7081.938731856982
ZB,1.0,1.0,2.0,3.657291235810469,132.0,156.0539676570139,13.0,20.52026203239603,1.0,9.364024756940964,6.0,8.908164905942327,3.0,5.829866016497289
Good,0.0,0.4112830322166468,1.0,1.6685049864423918,123.0,143.380594208349,12.0,18.72964604338823,1.0,8.505550265610905,4.0,7.335164991062393,2.0,3.8192703823542815
PercentGood,0.0,41.12830322166468,33.33333206176758,40.622308836224775,97.5,93.61223035139018,95.45454406738281,87.83421102207413,100.0,69.65472029094121,88.88888549804688,74.3462468896806,64.28571319580078,56.47357240930157
Promo,0.0,0.09680715867255361,0.0,0.07481961487200699,0.0,0.26006017299736744,0.0,0.01930408530567221,1.0,0.9151924426180215,0.0,0.02196097717836437,0.0,0.02974752768536663
QntNew,1.0,1.0,2.0,3.1210993152258837,57.0,72.3757051523129,7.0,11.1593675613957,1.0,5.475092713240453,4.0,6.730018064369686,2.0,4.343674520348175
QntPerez,0.0,0.0,0.0,0.32423365044349467,72.0,83.1889808198571,5.0,9.271679600565092,0.0,3.7945649994988475,0.0,1.998723199001258,0.0,1.2859567971562684
QntOSN,0.0,0.0,0.0,0.10331357139574429,0.0,0.263068822865739,0.0,0.04854566214464034,0.0,0.03946577127393004,0.0,0.07083881096724769,0.0,0.05574670737820717
QntBuyUp,0.0,0.0,0.0,0.10864469874534675,0.0,0.2262128619781873,0.0,0.040669208290596635,0.0,0.05490127292773379,0.0,0.10858483160413494,0.0,0.14448799161463793
AVGDneyZaloga,0.0,13.178862001650792,1.0,18.259249046371615,56.0,52.70270778488153,49.0,48.2465794515511,27.0,26.852197554375064,28.0,30.02695468775122,21.0,25.034703550107096
AVGDneySProshZB,0.0,0.0,48.0,104.79640608483845,12.0,14.194998119593832,57.0,86.77315038801696,0.0,54.10586849754435,97.0,191.94567448194982,56.0,140.2365446839539
AVGWeightGross,3.5,5.643318026551463,3.99180006980896,5.626145112110585,7.611999988555908,14.948444814610111,5.186200141906738,8.082818537947073,5.050000190734863,9.672403103218489,4.013999938964844,6.000723408501423,4.094200134277344,6.271664793324315
AVGCostPerGram,1200.0,1183.1561566606897,996.531982421875,1039.2461497879538,1116.6693725585938,1127.19342178122,1100.971435546875,1104.5511755830255,1142.5286865234375,1155.326835066089,1130.99365234375,1123.762252471527,1224.7572021484375,1188.3725127216373
AVGCost,4105.0,6723.142472519554,4062.333251953125,5898.1828116380075,8329.50830078125,17045.455504016798,5640.32568359375,8888.389042091321,5716.0,11322.033625595554,4479.5,6786.268370529547,4805.5,7510.481978970272
AVGPercentPerDay,0.3499999940395355,0.3654096173493092,0.3499999940395355,0.3690466794441594,0.29249998927116394,0.3010814968845413,0.32350000739097595,0.3300583283605181,0.20000000298023224,0.23445169728779897,0.3393000066280365,0.34767150838134625,0.3499999940395355,0.35016616514788823
MINPercentPerDay,0.3499999940395355,0.3654096173493092,0.3499999940395355,0.3268904820303032,0.20000000298023224,0.2180556618770001,0.25,0.2685510821088543,0.20000000298023224,0.20547609818637985,0.30000001192092896,0.2937629697911417,0.33000001311302185,0.3224047531510847
MAXPercentPerDay,0.3499999940395355,0.3654096173493092,0.38999998569488525,0.42096511723103947,0.3799999952316284,0.42975930839597665,0.3700000047683716,0.3925139817273483,0.20000000298023224,0.2696312788942614,0.3499999940395355,0.3961875655766307,0.3499999940395355,0.37753748198745274
OverPayAmount,0.0,0.0,0.0,4.765827032916987,0.0,6681.038046388888,0.0,2229.392849787433,0.0,4.487552967388883,0.0,3.2663083420080494,0.0,0.9284165816173858
BudetSledVisit3M,0.0,0.1548600102191885,0.0,0.20557010892044672,1.0,0.8595336592704024,1.0,0.5797418380972655,0.0,0.44531171694898264,0.0,0.38120548929851605,0.0,0.3357676707833933
BudetSledVisit6M,0.0,0.16783706945117718,0.0,0.2254699204926697,1.0,0.897141782625047,1.0,0.6244460356472432,0.0,0.47678410343790717,0.0,0.42443702533740646,0.0,0.3735815522034362
BudetSledVisit12M,0.0,0.18778413929540005,0.0,0.2506089434257089,1.0,0.9170740880030086,1.0,0.6516846322063747,1.0,0.5065525709131001,0.0,0.4726528141639791,0.0,0.4195301462881101
labels,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,4.0,4.0,5.0,5.0,1.0,1.0
