118651,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std
PartnerID,35289,30%,,19096,16%,,14703,12%,,34444,29%,,15119,13%,
Sex,0,0.403383491,0.490583398,0,0.323313783,0.467753609,0,0.120451609,0.325499961,0,0.346127047,0.475741196,0,0.302797804,0.459483687
Age,33,34.10249653,9.735210417,33,35.13961039,11.26702209,60,57.66598653,11.30699911,35,35.98731274,9.450598237,38,38.83610027,9.937793874
CreditCondition,1,0.607498087,0.748240133,1,1.325565563,1.517031854,0,0.012310413,0.193903093,2,2.311462083,0.878480626,4,3.821615186,1.583456779
LifeTimeMonth,1,4.979256992,9.367383275,5,11.98182866,14.35085861,19,23.6040944,21.46607646,32,32.19100569,16.84209941,46,42.09656723,15.45134131
SumAmountzb,10000,25281.5526,71910.0701,10159,25917.16642,86814.2313,39278.73828,106967.7848,209073.8464,47381,83016.04827,111223.3582,212904,598013.5589,2388729.052
AVGAmountzb,4837,8182.346459,11379.36533,3816.870728,5854.238864,7701.941762,5210,8485.612362,11608.41687,4368.804932,6161.422851,6070.767603,6192.856934,11498.4277,19345.58333
ZB,2,3.046445068,4.285409905,2,4.428990364,6.223950525,7,14.46691151,18.96470465,10,13.55661363,10.97948006,34,48.00793703,57.42368297
Good,1,2.141998923,3.215540874,1,2.841589862,5.134727451,6,13.42202272,18.24362099,9,11.7610324,10.53231197,30,44.23850784,52.41888128
PercentGood,100,74.41186321,39.20913146,50,50.55122396,43.43585088,100,88.69391971,25.85555128,93.75,83.28723632,23.97201941,96.29629517,92.50454617,10.60358946
PromotionID,0,2%,0.151461308,0,11%,0.314680698,1,97%,0.18107747,0,0%,0.065629827,0,4%,0.191598133
PercentNew,1,0.927633086,0.158433823,1,0.938036635,0.13812361,0.921052632,0.813622967,0.222832424,0.833333333,0.803337451,0.188950948,0.529411765,0.537406641,0.185818271
PercentPerez,0,0.034074913,0.10189941,0,0.042503264,0.110039804,0,0.164278301,0.214871046,0.125,0.168059628,0.181107193,0.465116279,0.45809722,0.186463135
PercentOSN,0,0.006358017,0.051653569,0,0.010086461,0.064654086,0,0.007349318,0.046322437,0,0.009177118,0.047492633,0,0.00204657,0.010873064
PercentBuyUp,0,0.031933984,0.117478767,0,0.00937364,0.063047387,0,0.014749413,0.072875542,0,0.019425803,0.077625264,0,0.00244957,0.016733611
AVGDneyZaloga,25,27.67171073,23.72802935,9.5,17.89170507,20.99100675,33,33.33918248,20.02022086,32,32.80347811,17.77933397,50,49.25418348,16.39389019
AVGDneySProshZB,12,56.27235116,112.0653456,47,117.5710096,192.0509639,45,87.99353873,151.5520486,82,157.871008,224.918072,39,55.8724122,56.44796477
AVGWeightGross,4.005000114,6.707055832,8.991627069,3.694999933,5.582591772,6.996291096,4.877999783,7.468657681,9.315587434,4.03000021,5.691065053,5.602991818,6.039999962,11.06241497,19.71005343
AVGCostPerGram,1338.608765,1296.173724,200.9164936,1100,1107.262281,214.1754965,1254.156372,1227.301144,187.4298342,1209.370422,1190.218634,181.7876577,1138.510986,1140.62175,183.5403505
AVGCost,5151.142578,8744.336149,11949.97087,4040.183228,6201.831642,8073.229285,5820.10498,9149.667159,12106.57848,4775.355469,6785.707747,6787.02492,6764.758789,12587.58407,20876.94814
AVGPercentPerDay,0.349999994,0.34697581,0.05402337,0.349999994,0.353342396,0.083438709,0.230000004,0.244180155,0.061361112,0.338800013,0.346466212,0.065399541,0.315400004,0.322324578,0.055667405
MINPercentPerDay,0.349999994,0.33846326,0.061252223,0.330000013,0.319489421,0.079218331,0.200000003,0.198439097,0.024544936,0.289999992,0.287683487,0.066837265,0.25,0.251304321,0.056844691
MAXPercentPerDay,0.349999994,0.353914533,0.055724457,0.349999994,0.385812734,0.171590133,0.330000013,0.304371218,0.120336772,0.389999986,0.399570315,0.191467612,0.370000005,0.400030425,0.199169497
OverPayAmount,0,19.54935671,527.4276604,0,73.69883901,875.9141319,0,0.542277083,43.65032171,0,34.58937492,548.8003412,492,3472.450512,25206.52088
PercentAmount,0,0.193628326,10.01062237,0,154.0632708,686.8222446,0,2.723589065,53.21492648,0,0.433393045,13.48354216,0,7.753085543,126.3659103
isGoodZB,1,0.742554337,0.437233131,0,0.44627147,0.49711788,1,0.889002244,0.314140041,1,0.834920451,0.371257718,1,0.833057742,0.372936643
BudetSledVisit3M,1,0.85043498,0.356649589,0,0,0,1,0.847582126,0.359437689,1,0.843862501,0.362990917,1,0.817580528,0.386202633
BudetSledVisit6M,1,0.986426365,0.115714177,0,0.003194386,0.056430036,1,0.933074883,0.249900767,1,0.97154802,0.166262646,1,0.908790264,0.28791666
BudetSledVisit12M,1,0.999971663,0.005323292,0,0.359761207,0.479942854,1,0.99143032,0.092178187,1,1,0,1,0.976387327,0.151844129
BudetSledVisit,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
BudetPerezalog,0,33%,0.468940692,0,0%,0,0,33%,0.46931149,0,32%,0.467822461,0,44%,0.496659561
labels,1,,,4,,,0,,,2,,,3,,
