,50%,std,50%,std,50%,std,50%,std,50%,std,50%,std
PartnerID,147634.0,1053106.0755920734,1047284.0,1004701.8780746192,1564316.0,1365990.555383275,137272.0,639290.7733528971,1414728.0,1384729.792570027,1941680.0,1369755.2347098663
Sex,1.0,0.4824515054237047,0.0,0.453741799886951,0.0,0.46258679559317845,0.0,0.44115829147973024,0.0,0.45946509438976796,0.0,0.4655159673214344
Age,41.0,12.441846750475111,38.0,12.981864724233173,37.0,12.963171066728092,40.0,13.067527478100708,37.0,13.02383884761403,36.0,12.984314384503907
CreditCondition,3.0,2.07666471966974,2.0,1.7405892379631116,2.0,1.6856220016383454,2.0,1.7697439137673652,2.0,1.7122207385008295,1.0,1.6008262320393412
LombardRating,2.0,2.258159850942091,2.0,1.956125376076559,2.0,1.9012369650568024,2.0,2.0428264330411507,2.0,1.9215785725951844,2.0,1.8499844728459864
SumAmountzb,6236553.75,15869305.465195106,64680.0,457651.4763657601,38221.0,394082.53657615185,120625.7890625,563114.7854896511,43090.0,405782.4344369313,26612.0,325387.75325667387
AVGAmountzb,56827.712890625,54634.17625234974,4700.0,7621.047505662089,4790.0,8117.134631004716,4743.307373046875,7184.796995713363,4753.89697265625,8074.945166331778,4848.88427734375,8524.158541533121
ZB,199.0,338.1524747100652,14.0,37.800892579657905,8.0,31.935214989834744,25.0,45.349650894272706,9.0,33.53531467169106,5.0,26.327498530066652
Good,147.0,331.5855281626028,12.0,36.14854530768346,7.0,30.329436336756928,23.0,43.3715236755066,8.0,32.01185399074635,4.0,25.129602996960653
PercentGood,96.62921142578125,27.766384761462774,97.43589782714844,28.733844781997607,100.0,32.16003411396255,96.15384674072266,22.942770161893907,100.0,31.630666738457602,100.0,34.35050373341728
QntNew,114.0,155.78860602008652,9.0,22.574355573139393,6.0,19.476693778102778,16.0,27.331042035614477,6.0,20.20072316746873,4.0,15.833343853431668
QntPerez,57.0,236.38810153866626,2.0,20.186021802141948,1.0,16.14727346617819,6.0,25.011085242832937,1.0,17.503150839772605,0.0,13.464996711050187
QntOSN,0.0,3.008022602650676,0.0,0.43170237644264625,0.0,0.3802965474511639,0.0,0.44244636599811143,0.0,0.390962732464962,0.0,0.3252301059856976
QntBuyUp,0.0,2.786932178541695,0.0,0.33862286698261845,0.0,0.3677621488354064,0.0,0.37608928979980716,0.0,0.3805267713763009,0.0,0.4356005051275775
AVGDneyZaloga,41.0,19.236590278984913,37.0,22.463707759374373,34.0,22.582308512914018,43.0,21.967440919883835,35.0,22.815455828897015,31.0,22.511392164458456
AVGDneySProshZB,5.0,42.632112589588246,36.0,133.7837911817312,30.0,120.56837096386592,38.0,139.63566716892336,31.0,123.66982682233906,26.0,106.63551701274758
AVGWeightGross,48.65460014343262,56.51525522876769,4.880000114440918,7.69069289670279,4.685699939727783,7.749521137377579,5.088250160217285,7.57134435417678,4.7322001457214355,7.743716466565013,4.546899795532227,7.7349383484656205
AVGCostPerGram,1141.7222900390625,267.5313481966831,1039.5418701171875,199.1954904899267,1115.7377319335938,222.30256003272834,996.8917846679688,173.07154464876413,1096.051025390625,220.9268222895127,1195.825439453125,226.3372774459155
AVGCost,61455.615234375,57657.51904399422,5070.5625,8213.439395239187,5165.78564453125,8707.404444262662,5108.14697265625,7805.300705395345,5132.0,8651.836478692525,5224.78515625,9113.25964052705
AVGPercentPerDay,0.257099986076355,0.05886861040240594,0.3246999979019165,0.07483390220763853,0.33000001311302185,0.07358886360063858,0.3158999979496002,0.07242861583466013,0.33000001311302185,0.07423909077321177,0.33309999108314514,0.07257236548297807
MINPercentPerDay,0.18000000715255737,0.04732652239705725,0.25,0.07620930739874476,0.2800000011920929,0.07999806786822823,0.25,0.06921501791233661,0.25,0.07902879219431136,0.30000001192092896,0.08017017465286408
MAXPercentPerDay,0.3499999940395355,0.29206146170733915,0.3799999952316284,0.20031225323827134,0.3499999940395355,0.16984586003361019,0.38999998569488525,0.23403730644640072,0.3499999940395355,0.1749335992844985,0.3499999940395355,0.14956016037124584
OverPayAmount,0.0,98932.61588585844,0.0,7167.074613902264,0.0,6089.2359438513995,0.0,7675.054654915178,0.0,6326.698649675674,0.0,5508.308473859852
BudetSledVisit3M,1.0,0.20400375272447469,1.0,0.4064860695717881,1.0,0.4318539736990558,1.0,0.3598400126166381,1.0,0.4264913029598866,1.0,0.44600615371264707
BudetSledVisit6M,1.0,0.1758256165151211,1.0,0.3663193525520249,1.0,0.3976269697878576,1.0,0.31044664611485234,1.0,0.39112140888787417,1.0,0.4156785298720714
BudetSledVisit12M,1.0,0.1590557719381037,1.0,0.3362540644925044,1.0,0.3701706078296641,1.0,0.27572509844862947,1.0,0.3639991621184062,1.0,0.3903780112849621
labels,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0
