,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean
PartnerID,1354051,1532195.534,2230372.5,2658651.165,1501670,1703158.022,1275679,1349296.386,330809,818063.1987,1275679,2534128.15
CreditCondition,3,2.627730166,0,0.048985801,2,2.086206729,4,3.494442199,5,4.472811632,1,0.989784933
LombardRating,3,2.868274941,0,0.10903854,2,2.219364731,4,3.730067704,5,4.317542408,4,1.192153361
SumAmountzb,37100,93071.48588,5586,29431.74492,22720,57748.08982,69595.82422,155564.0236,181540.4141,577247.8741,69595.82422,51453.34653
AVGAmountzb,4500.5,7085.314522,4312,7471.616523,4118.981934,6316.519922,5198,8157.722886,6266.516846,11433.32707,5198,7177.415998
ZB,7,12.54657484,1,3.943212982,5,8.574478616,12,19.45735651,26,46.85723151,12,6.40989944
PercentGood,93.75,83.32546174,50,49.12290462,88.8888855,74.67385051,96.875,91.63187048,98.11320496,92.74028293,96.875,51.85540655
Promo,0,0.034744927,0,0.358977688,0,0.021757907,0,0.024252223,0,0.055115551,0,0.029519708
QntPerez,2,3.502447235,0,1.233833671,0,1.885775841,5,8.680224333,15,26.16366215,5,1.544970762
QntBuyUp,0,0.052968602,0,0.025046653,0,0.106800074,0,0.049034964,0,0.049175483,0,0.156504612
AVGDneyZaloga,39,40.64098199,1,17.67587424,25,28.64730258,52,51.82346403,56,52.91663219,52,23.72270069
AVGWeightGross,4.364999771,6.824229915,4,6.732901689,4.010000229,6.109107228,5.078000069,7.903133826,6.390100002,11.23114949,5.078000069,6.372381095
AVGCost,4886,7740.559586,4565.171387,7861.99294,4480,6937.851054,5670.702637,8877.243998,6862.800781,12413.57601,5670.702637,7583.119914
AVGPercentPerDay,0.333999991,0.341023644,0.340000004,0.323958358,0.340000004,0.347727698,0.326099992,0.329920142,0.306499988,0.31406983,0.326099992,0.35146279
MINPercentPerDay,0.280000001,0.285425316,0.330000013,0.3112957,0.300000012,0.295881041,0.25,0.272424972,0.239999995,0.248983984,0.25,0.322730175
BudetSledVisit3M,1,0.521986419,0,0.243407708,0,0.352842988,1,0.671458165,1,0.66969088,1,0.309975288
BudetSledVisit6M,1,0.569654292,0,0.259760649,0,0.399590462,1,0.731305578,1,0.721378332,1,0.336962639
BudetSledVisit12M,1,0.618850477,0,0.279338742,0,0.455178906,1,0.76470291,1,0.742715291,1,0.372183211
BudetSlednew3M,0,0.069315742,0,0.019590264,0,0.051473657,0,0.058205335,0,0.053667474,0,0.025996428
BudetSlednew6M,0,0.110154572,0,0.028640974,0,0.089632484,0,0.086878537,0,0.070394231,0,0.040517727
BudetSlednew12M,0,0.153063396,0,0.039407708,0,0.136205274,0,0.116461196,0,0.087534724,0,0.060250544
labels,0,0,1,1,2,2,3,3,4,4,3,5
