148438,mean,mean,mean,mean,mean,mean,mean
PartnerID,25%,17%,15%,20%,6%,16%,2%
SEX,39%,39%,33%,38%,35%,27%,58%
Age,35,38,39,35,36,42,41
CreditCondition,0.35,0.28,0.60,2.00,3.00,2.81,1.37
LifeTime,548,550,617,1338,1514,1539,933
SMS,2%,6%,8%,16%,15%,14%,10%
BudetPerezalog,0%,0%,96%,10%,39%,60%,36%
SumAmountzb,11281,14069,23769,40562,97107,181177,617308
AVGAmountzb,6834,6567,8426,5608,6427,7957,67756
ZB,1.6,2.2,3.1,7.4,15.2,24.0,11.8
PercentSMS,1%,3%,4%,6%,4%,2%,3%
PercentBudetPerezalog,0%,2%,73%,12%,32%,58%,35%
PercentGood,1,98,96,65,80,93,72
PercentNew,93%,96%,90%,88%,73%,49%,80%
PercentPerez,0%,2%,8%,9%,26%,51%,19%
PercentOSN,1%,1%,1%,1%,1%,0%,0%
PercentBuyUp,6%,2%,2%,2%,1%,0%,1%
AVGDneyZaloga,0,26,46,29,41,52,30
AVGDneySProshZB,52,39,61,290,130,70,67
AVGWeightGross,5.35,5.63,7.07,5.15,6.08,7.67,56.37
SUMWeightGross,8.91,12.29,20.03,37.81,94.45,176.73,553.23
AVGCostPerGram,1287,1280,1292,1163,1159,1164,1294
AVGCost,6893,7222,9095,6023,7056,8816,72198
MaxCost,8108,8433,11479,11021,14508,18905,118098
AVGPercentPerDay,33%,32%,32%,35%,34%,32%,28%
MINPercentPerDay,33%,31%,31%,30%,28%,26%,25%
MAXPercentPerDay,33%,32%,33%,40%,40%,38%,32%
OverPayAmount,2.08,6.15,33.55,123.20,0.00,1583.98,5488.63
PercentAmount,0.00,0.00,0.00,0.00,0.00,0.00,0.00
isGoodZB,0%,98%,99%,51%,69%,82%,66%
isBadZB,100%,2%,1%,49%,31%,18%,34%
BudetSledVisit3M,5%,4%,99%,18%,46%,70%,44%
MoreGood,0%,33%,50%,69%,87%,99%,56%
labels,5,0,1,6,4,2,3
