275783,mean,mean,mean,mean,mean,mean,mean,mean,mean,1,2,3,4,5,6,7,8,9
Кластер,1,2,3,4,5,6,7,8,9,"Кластер женщин, пришедших первый раз. В половине случаев залог будет возвращен. Почти четверть из них вернется в течении 3х месяцев, 80% для перезалога. ","Кластер мужчин, аналогичный предыдущему.  В основном это первый залог, возврат будет в половине случаев. Проценты перезалога, возврата займа и повторного визита здесь ниже. Для обоих кластеров характерна самая высокая цена за грамм и средний процент в день. Причем для женщин процент ниже.","Это кластер скупщиков - 3%. Половина людей здесь целеноправленно идут за скупкой, еще половина берет займ, но процент возврата здесь самый низкий. Вес изделия в кластере также минимален. В среднем у людей по 3 визита. В 3% они реагируют на СМС. ","Кластер тех, кто из первых 2х перерос и стал ходить в ломбард регуляро. Здесь уже по 4 билета в среднем, но процент возврата еще на уровне 50%. Как следствие рейтинг не вырос сильно - 1 и процент в день довольно высок. Люди редко перезакладываются. Частота визитов примерно раз в пол года. Хорошая реакция на СМС - 5%","1% клиентов, это самые старые клиенты, посещающие ломбард крайне редко - раз в полтора - два года. У них невысокая средняя сумма займа, неплохой процент возвратов. И достаточно низкие ставки, за счет высокого рейтинга. На СМС практически не реагируют.","Постоянные клиенты, имеют по 7-8 визитов. Из них 10% это перезалоги. В среднем погашают задолженность за месяц. Частота визитов - раз в 8 месяцев. Есть неплохой отклик на СМС - 4%. ","Тоже уже постоянные клиенты. В среднем первый раз приходили 4 года назад. За это время  у них было более 11 визитов. Процент новых займов с увеличением количества визитов начинает пада, а процент перезалогов расти. Клиенты, которые понимают что будут пользоваться услугами ломбарда регулярно предпочитают возвращать кзайм, что бы уменьшать проценты.","Постоянные клиенты, для этого кластера характерно резкое сокращение промежутка между визитами - отчасти это связано с возросшим количеством перезалогов - 47%. В среднем залогом здесь пользуются уже 2 месяца, процент возврата больше 90. Реакция на СМС крайне слабаа.","Самые старые клиенты. C компанией больше 4х лет. Для этого кластера характерен большой средний возраст и самая высокая сумма среднего залога. Количество визитов велико - 25, и больше половины это уже перезалоги. При этом процент возврата максимеален - 93% "
Доля кластера,24%,16%,3%,15%,1%,17%,7%,5%,11%,,,,,,,,,
Процент мужчин,0%,100%,27%,39%,40%,39%,37%,34%,25%,,,,,,,,,
Age,40,35,36,34,35,35,36,37,45,,,,,,,,,
CreditCondition,0,0,1,1,7,2,3,4,3,,,,,,,,,
LifeTime,691,648,723,920,1851,1356,1490,1523,1614,,,,,,,,,
DayFromLast,619,632,518,577,702,605,664,651,580,,,,,,,,,
BudetPerezalog,19%,16%,10%,23%,25%,25%,37%,51%,59%,,,,,,,,,
SumAmountzb,11552,11908,23565,30141,33800,44126,77833,131672,248044,,,,,,,,,
AVGAmountzb,7529,9785,7127,7255,6189,6127,6903,8395,10963,,,,,,,,,
ZB,1.6,1.2,3.2,4.2,5.4,7.4,11.6,16.8,24.4,,,,,,,,,
PercentSMS,1%,0%,3%,5%,1%,4%,2%,1%,1%,,,,,,,,,
PercentBudetPerezalog,18%,15%,5%,18%,22%,17%,31%,54%,61%,,,,,,,,,
PercentGood,51,48,29,57,75,72,80,91,93,,,,,,,,,
PercentNew,98%,100%,51%,92%,85%,88%,75%,53%,45%,,,,,,,,,
PercentPerez,1%,0%,0%,6%,15%,10%,24%,47%,54%,,,,,,,,,
PercentOSN,0%,0%,1%,2%,0%,1%,0%,0%,0%,,,,,,,,,
PercentBuyUp,0%,0%,48%,0%,0%,1%,0%,0%,0%,,,,,,,,,
AVGDneyZaloga,18,15,10,25,33,29,42,52,53,,,,,,,,,
AVGDneySProshZB,22,6,100,163,517,230,116,72,67,,,,,,,,,
AVGWeightGross,6.12,7.97,5.57,6.15,7.05,5.68,6.56,8.17,10.82,,,,,,,,,
AVGCostPerGram,1281,1296,1290,1240,960,1167,1146,1135,1103,,,,,,,,,
AVGCost,7851,10414,7222,7715,6672,6705,7562,9232,11998,,,,,,,,,
MaxCost,8517,10831,11565,11733,11676,11661,14484,17983,26255,,,,,,,,,
AVGPercentPerDay,32%,34%,34%,35%,31%,35%,34%,33%,31%,,,,,,,,,
MINPercentPerDay,32%,34%,34%,33%,24%,30%,29%,27%,24%,,,,,,,,,
MAXPercentPerDay,33%,34%,35%,37%,36%,40%,40%,38%,38%,,,,,,,,,
isGoodZB,51%,47%,28%,53%,62%,63%,66%,74%,80%,,,,,,,,,
BudetSledVisit3M,23%,18%,22%,30%,26%,31%,44%,56%,66%,,,,,,,,,
MoreGood,11%,4%,13%,56%,80%,74%,87%,99%,99%,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
