,mean,mean,mean,mean,mean,mean,mean,mean,mean
PartnerID,,,,,,,,,
SEX,44%,19%,61%,38%,28%,39%,37%,28%,40%
Age,34,53,41,34,34,35,36,41,35
CreditCondition,0.0,0.0,1.4,1.0,6.0,2.2,3.0,3.3,7.0
LifeTime,646,808,997,882,1241,1343,1494,1594,1852
DayFromLast,640,566,591,570,616,606,664,606,703
BudetPerezalog,16%,26%,37%,22%,8%,24%,37%,57%,25%
SumAmountzb,7540,23870,625588,26716,40997,42138,75476,167122,32944
AVGAmountzb,6962,8122,74505,6779,6275,5923,6465,7895,6049
ZB,1.1,3.2,10.3,3.9,6.5,7.2,11.7,22.0,5.4
PercentSMS,0%,2%,2%,5%,2%,4%,2%,1%,1%
PercentPromo,1%,83%,17%,13%,19%,12%,7%,12%,13%
PercentGood,45.77,63.69,73.23,54.47,8.78,69.98,79.62,92.26,75.15
PercentNew,100%,91%,80%,87%,89%,87%,75%,47%,85%
PercentPerez,0%,5%,19%,5%,1%,9%,24%,53%,15%
PercentOSN,0%,1%,0%,2%,2%,1%,0%,0%,0%
PercentBuyUp,0%,3%,1%,6%,8%,3%,1%,0%,0%
AVGDneyZaloga,15,23,31,23,10,28,42,54,33
AVGDneySProshZB,3,75,49,157,127,224,116,67,517
AVGWeightGross,6,7,63,6,6,5,6,8,7
AVGCostPerGram,1291,1268,1263,1249,1124,1170,1145,1109,960
AVGCost,7346,8546,79030,7179,6332,6460,7082,8690,6533
MaxCost,7497,10731,120268,10886,13370,11335,13644,18472,11403
AVGPercentPerDay,35%,25%,28%,35%,36%,35%,34%,32%,31%
MINPercentPerDay,35%,23%,25%,33%,31%,30%,29%,26%,24%
MAXPercentPerDay,35%,27%,32%,37%,40%,40%,40%,38%,36%
isGoodZB,46%,62%,65%,50%,21%,62%,66%,78%,62%
BudetSledVisit3M,19%,31%,43%,29%,15%,30%,44%,63%,26%
MoreGood,2%,33%,54%,51%,2%,72%,87%,99%,79%
labels,1,2,3,4,5,6,7,8,9
