,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean
PartnerID,3060334,3257417.656,2237822,2742365.469,1025979,964428.1778,1489064,1777326.692,1642803,1912365.576
Sex,0,0.412878831,0,0.396692307,0,0.313456291,0,0.16736855,0,0.364814831
Age,34,36.51500562,32,34.99099665,37,38.36634427,57,51.99304524,33,35.08490039
CreditCondition,0,0.005223296,0,0.00337972,4,4.075531809,0,0.041815926,2,1.911233861
LombardRating,0,0.25453348,0,0.111918591,4,3.947312028,0,0.104111696,2,2.054150524
SumAmountzb,4900,9566.470854,3659,5925.134471,133930.0781,397707.3834,34543,121876.6828,21781,49893.80976
AVGAmountzb,4900,9566.470854,3659,5925.134471,6018.491699,10996.47472,5053.833496,7699.068196,4278,6275.010945
ZB,1,1,1,1,20,34.94108319,6,15.71268807,4,7.913952769
Good,1,0.990143868,0,9.23E-06,18,32.25988257,5,14.28109109,3,6.117909576
PercentGood,100,99.01438677,0,0.000923421,96.875,92.04044902,98.70130157,74.6345072,80.95237732,67.35416277
Promo,0,0.240089932,0,0.275465635,0,0.02084375,1,0.69084523,0,0.024891115
QntNew,1,1,1,1,9,16.98828521,4,8.835811767,4,6.002379582
QntPerez,0,0,0,0,10,17.84005029,1,6.684694288,0,1.732795279
QntOSN,0,0,0,0,0,0.059916854,0,0.089905115,0,0.063819186
QntBuyUp,0,0,0,0,0,0.052830836,0,0.102276897,0,0.114958722
AVGDneyZaloga,29,31.87447057,0,0.002105399,54,52.19817992,34,33.05191605,29,29.37279975
AVGDneySProshZB,0,0.613987078,0,0.786348148,45,69.46164836,51,104.605099,79,160.0341431
AVGWeightGross,4.389999866,8.567992322,3.24000001,5.142571542,6.047500134,10.77963852,4.96750021,7.30746664,4.052700043,5.890934829
AVGCostPerGram,1235.294067,1198.185031,1149.831543,1155.132886,1105.09021,1107.801508,1134.330688,1126.855062,1155,1142.832076
AVGCost,5229,10326.79307,3708,5974.400007,6565.60791,11995.7753,5487.047852,8250.181876,4589.5,6769.633631
AVGPercentPerDay,0.349999994,0.323410244,0.349999994,0.34002844,0.312999994,0.320012699,0.276300013,0.287384456,0.343699992,0.350409639
MINPercentPerDay,0.349999994,0.323410244,0.349999994,0.34002844,0.25,0.255630529,0.200000003,0.234241532,0.300000012,0.304807271
MAXPercentPerDay,0.349999994,0.323410244,0.349999994,0.34002844,0.360000014,0.389228253,0.349999994,0.355649257,0.349999994,0.392748802
OverPayAmount,0,2.420769479,0,0.004188636,540,3778.437081,0,1.034164466,0,8.870735914
BudetSledVisit3M,0,0.384775228,0,0.019188683,1,0.656370987,1,0.512153354,0,0.37240458
BudetSledVisit6M,0,0.405202857,0,0.029318608,1,0.710787605,1,0.548936691,0,0.410314672
BudetSledVisit12M,0,0.428764463,0,0.047685446,1,0.736031544,1,0.582819299,0,0.454341234
labels,0,0,1,1,0,0,1,1,2,2
